application_date,approval_id,issue_date,latitude,longitude,project_id,complete_cancel_date,job_id,status,valuation
2015-01-20,1415205,2015-01-20,32.935398,-117.185462,404838,2015-03-25,788136,Completed,
2015-01-20,1415797,2015-01-20,32.805441,-117.07622,405005,2015-03-19,788422,Completed,
2015-01-20,1416252,2015-01-20,32.686267,-117.028315,405150,2015-03-27,788688,Completed,
2015-01-20,1413915,2015-01-20,32.948674,-117.102051,404462,2015-01-26,787447,Completed,
2014-12-22,1409252,2015-01-20,33.010373,-117.141276,403198,,785040,Issued,
2015-01-20,1411165,2015-01-20,32.722765,-117.11485,403676,2015-03-05,785930,Completed,
2014-12-17,1406950,2015-01-20,32.805161,-117.017812,402535,2015-05-11,783786,Completed,
2015-01-20,1415291,2015-01-20,32.787134,-117.075225,404861,2015-02-25,788182,Completed,
2015-01-20,1415259,2015-01-20,32.715853,-117.241151,404819,2015-02-19,788093,Completed,
2015-01-20,1418536,2015-01-20,32.804917,-117.177772,405738,2015-03-24,789822,Completed,
2015-01-20,1398665,2015-01-20,32.778681,-117.085313,400366,2015-01-28,779547,Completed,
2015-01-21,1419672,2015-01-21,32.906869,-117.063332,406043,2015-02-05,790435,Completed,
2015-01-21,1419683,2015-01-21,32.956056,-117.206606,406046,2015-02-26,790444,Completed,
2015-01-21,1419706,2015-01-21,32.911178,-117.093007,406056,2015-02-09,790462,Completed,
2015-01-21,1419769,2015-01-21,32.916792,-117.175414,406071,2015-02-10,790493,Completed,
2015-01-21,1419432,2015-01-21,32.800633,-117.117551,405986,2015-04-03,790327,Completed,
2015-01-21,1414974,2015-01-21,32.726839,-117.127955,404763,2015-02-04,787981,Completed,
2015-01-21,1412291,2015-01-21,32.562042,-117.055988,404026,2015-02-04,786631,Completed,
2015-01-21,1414180,2015-01-21,32.56447,-117.044884,404551,,787586,Issued,
2015-01-21,1419313,2015-01-21,32.544633,-117.047577,405951,2015-03-24,790263,Completed,
2015-01-21,1414089,2015-01-21,32.802018,-117.068872,404530,,787544,Issued,
2015-01-21,1419297,2015-01-21,32.90437,-117.065075,405944,2015-03-23,790249,Completed,
2015-01-21,1419305,2015-01-21,32.792117,-117.067905,405950,2015-06-02,790261,Completed,
2015-01-21,1413288,2015-01-21,32.821443,-117.193871,404271,2015-02-03,787119,Completed,
2015-01-07,1408095,2015-01-21,32.751407,-117.23233,402871,,784410,Issued,
2015-01-05,1413276,2015-01-21,32.722863,-117.237936,404269,,787117,Issued,
2015-01-21,1414201,2015-01-21,33.023174,-117.059166,404554,2015-04-01,787592,Completed,
2015-01-21,1416225,2015-01-21,32.947033,-117.204806,405140,2015-01-28,788668,Completed,
2015-01-21,1413595,2015-01-21,32.90415,-117.078714,404359,2015-08-14,787271,Completed,
2015-01-21,1413956,2015-01-21,32.816399,-117.187853,404473,,787463,Issued,
2015-01-21,1413847,2015-01-21,32.760804,-117.13462,404444,,787411,Issued,
2015-01-21,1416998,2015-01-21,32.915127,-117.129398,405355,2015-05-27,789069,Completed,
2015-01-21,1417007,2015-01-21,32.856316,-117.194961,405358,2015-03-25,789078,Completed,
2015-01-21,1413811,2015-01-21,32.751788,-117.152984,404435,2015-02-02,787399,Completed,
2015-01-21,1415069,2015-01-21,32.769758,-117.080583,404802,2015-02-09,788055,Completed,
2015-01-21,1415072,2015-01-21,32.855223,-117.196737,404803,,788057,Issued,
2014-11-04,1384654,2015-01-21,32.759551,-117.166209,396571,2015-04-29,772250,Completed,
2015-01-21,1421852,2015-01-21,32.845066,-117.218479,406614,2015-04-01,791512,Completed,
2015-01-22,1420650,2015-01-22,32.727823,-117.132985,406292,2015-03-12,790894,Completed,
2015-01-22,1420628,2015-01-22,32.798038,-117.125394,406290,2015-03-24,790884,Completed,
2015-01-22,1420686,2015-01-22,32.815554,-117.060272,406298,2015-03-11,790913,Completed,
2015-01-22,1404276,2015-01-22,32.837351,-117.211749,401907,2015-09-01,782626,Completed,
2015-01-22,1418468,2015-01-22,32.807972,-117.011269,405721,2015-08-09,789787,Completed,
2015-01-22,1416043,2015-01-22,32.702231,-117.056408,405083,2016-02-11,788554,Cancelled - Expired,
2015-01-22,1416056,2015-01-22,32.727329,-117.2393,405086,,788560,Issued,
2015-01-22,1416049,2015-01-22,32.702413,-117.056407,405085,2015-06-26,788558,Completed,
2015-01-22,1416461,2015-01-22,32.66982,-117.051039,405212,2015-02-09,788814,Completed,
2014-12-23,1410258,2015-01-22,32.916055,-117.147437,403471,2015-04-28,785523,Completed,
2015-01-22,1416446,2015-01-22,32.566376,-117.022708,405210,2015-08-03,788807,Completed,
2014-12-03,1399345,2015-01-22,32.92025,-117.143188,400554,2015-01-30,779974,Completed,
2015-01-22,1416436,2015-01-22,33.019236,-117.066607,405209,2015-06-02,788803,Completed,
2015-01-22,1422885,2015-01-22,32.768074,-117.091084,406895,2015-02-03,792004,Completed,
2015-01-22,1404892,2015-01-22,32.818247,-117.255506,402040,2015-02-22,782883,Completed,
2015-01-23,1423286,2015-01-23,32.83379,-117.088629,406990,2015-03-27,792273,Completed,
2015-01-23,1423325,2015-01-23,32.585312,-117.030642,407005,2015-02-04,792297,Completed,
2014-12-10,1402805,2015-01-23,32.808598,-117.16628,401520,2015-03-25,781841,Completed,
2014-12-19,1408356,2015-01-23,32.924918,-117.090444,402938,2015-02-06,784527,Completed,
2015-01-23,1423471,2015-01-23,33.031804,-117.083123,407033,2015-04-01,792349,Completed,
2015-01-23,1423491,2015-01-23,33.008494,-117.086017,407044,,792368,Issued,
2015-01-07,1414546,2015-01-23,32.917532,-117.147348,404625,2015-05-11,787751,Completed,
2015-01-07,1414524,2015-01-23,32.9268,-117.084553,404620,,787742,Issued,
2015-01-06,1413588,2015-01-23,32.903901,-117.134544,404352,2015-04-17,787263,Completed,
2015-01-06,1413583,2015-01-23,32.900158,-117.072692,404351,2015-03-06,787261,Completed,
2015-01-23,1423520,2015-01-23,32.937278,-117.162546,407060,2015-02-05,792382,Completed,
2015-01-23,1423643,2015-01-23,32.793402,-117.206473,407112,2015-02-05,792459,Completed,
2015-01-23,1421339,2015-01-23,32.964847,-117.232065,406475,2015-02-25,791242,Completed,
2015-01-23,1421813,2015-01-23,32.779528,-117.201396,406601,2015-03-18,791492,Completed,
2015-01-26,1422220,2015-01-26,32.904139,-117.149176,406716,2015-02-03,791690,Completed,
2015-01-26,1422212,2015-01-26,32.95874,-117.230943,406715,2015-02-05,791688,Completed,
2015-01-26,1422225,2015-01-26,32.957182,-117.216723,406718,,791694,Issued,
2015-01-26,1422255,2015-01-26,32.786563,-117.188941,406723,2015-03-11,791707,Completed,
2015-01-26,1422302,2015-01-26,32.924923,-117.105451,406738,,791730,Issued,
2015-01-26,1422317,2015-01-26,32.920704,-117.127798,406741,2015-02-11,791736,Completed,
2015-01-26,1422176,2015-01-26,32.765225,-117.087616,406708,2015-03-03,791675,Completed,
2015-01-26,1421797,2015-01-26,32.752637,-117.175338,406592,,791484,Issued,
2015-01-26,1421978,2015-01-26,32.947811,-117.077705,406643,,791567,Issued,
2015-01-26,1422090,2015-01-26,32.741103,-117.23751,406679,2015-02-09,791621,Completed,
2015-01-26,1422194,2015-01-26,32.583407,-117.049535,406712,2015-03-25,791683,Completed,
2015-01-23,1421838,2015-01-26,32.740163,-117.218763,406610,2015-03-23,791502,Completed,
2015-01-26,1421979,2015-01-26,32.95237,-117.250025,406612,2015-02-19,791506,Completed,
2015-01-26,1421944,2015-01-26,32.960505,-117.163827,406631,2015-02-24,791538,Completed,
2015-01-26,1421837,2015-01-26,32.745209,-117.057781,406611,2015-02-19,791504,Completed,
2015-01-02,1412384,2015-01-26,32.906019,-117.13421,404046,2015-02-19,786670,Completed,
2014-12-01,1397710,2015-01-26,32.740985,-117.165463,400083,2015-02-18,779042,Completed,
2014-08-19,1344662,2015-01-26,33.00202,-117.164011,385074,2015-03-24,751437,Completed,
2015-01-26,1412282,2015-01-26,33.027284,-117.084222,404023,2015-02-05,786623,Completed,
